,name,price,Sale Price,Category
0,shan fried shop/steadk msala(62),47,44,Spices
1,delhi nihari masala 100 gm (36),178,160,Spices
2,shan chicken white korma 40 gm (62),128,115,Spices
3,sindhi masala 100 gm (36),178,160,Spices
4,shan aaloo gosht 50 gm (62),108,97,Spices
5,ecial food garam masala whole 100 gm,125,112,Spices
6,agro pakblack peper whole 50 gm (92),142,127,Spices
7,swaad murgi masala 50 gm  (70),117,105,Spices
8,national broast masala 97 gm(56),120,108,Spices
9,badian khatai25 gm (39),90,85,Spices
10,jazaa garam masala 100 gm (1q),350,315,Spices
11,parizad black peper pdr 50 gm,230,207,Spices
12,metha soda 200 gm (39),45,42,Spices
13,swaad easycook haleem mix 300 gm (70),246,221,Spices
14,usc clove 25 gm (ob-s)(rmob),140,126,Spices
15,swaad achaar gosht masala 100 gm  (70),227,204,Spices
16,agro pak chagoondh 100 gm (92),133,119,Spices
17,phool fish masala 50 gm(73),75,71,Spices
18,shan tika boti 90 gm d/p(62),248,223,Spices
19,national degi qorma 40 gm(56),38,36,Spices
20,marvel poppy seed khashkhas 100 gm (63),25,23,Spices
21,national curry 1100 gm for (only for kpk)(56),499,449,Spices
22,mehran garlic powder 50 gm(67),129,116,Spices
23,agro pak cinamon stick 50 gm(92),84,79,Spices
24,shafay black peper whole 50 gm (2a),120,108,Spices
25,utility anardana (ob-v),68,64,Spices
26,bombay chaat masala 100 gm (36),94,89,Spices
27,phool fruit chat masala 50 gm(73),64,60,Spices
28,ecial food haleem masala 345 gm,105,94,Spices
29,national sindhi biryani masala 41 gm(56),120,108,Spices
30,afghani seekh kabab masala 50 gm (malka)(36),96,91,Spices
31,national mazedar daal 23 gm(56),20,19,Spices
32,joy slanty (pellet snacks) 200 gm (39),110,99,Spices
33,phool methi 50 gm(73),53,50,Spices
34,kalonji 125 gm,228,205,Spices
35,agro pak red chilli crushed 200 gm (92),208,187,Spices
36,swaad biryani masala 50 gm (70),117,105,Spices
37,tandori masala 50 gm (36),96,91,Spices
38,nutri ajwain 100gm (1w),65,61,Spices
39,iqra four seed 100 gm (39),285,256,Spices
40,phool chutny pdr 50 gm(73),71,67,Spices
41,iqra food corriander powder 100gm (39),100,95,Spices
42,marvel black pepper whole 50 gm (63),175,157,Spices
43,eco corriander whole 100gm (88),110,99,Spices
44,shan palak gosht 50 gm (62),108,97,Spices
45,swaad lahori nihari masala 60 gm  (70),117,105,Spices
46,swaad chaat masala bottle 50 gm  (70),97,92,Spices
47,mehran haleem mix/e c 300 gm(67),325,292,Spices
48,mehran achar gosht 50 gm(67),128,115,Spices
49,national kofta masala 43 gm(56),120,108,Spices
50,shan tikka masala 100gm d/p(62),248,223,Spices
51,nutri clove 50 gm (1w),285,256,Spices
52,sultan coriander seeds 100 gm,107,96,Spices
53,mehran chat masala 100 gm(67),175,157,Spices
54,shan mandhi masala 50 gm(62),128,115,Spices
55,mehran firini mix 180 gm(67),135,121,Spices
56,sultan jouin 50 gm,72,68,Spices
57,parizad adrak pdr 45 gm,108,97,Spices
58,eco lovage seed (ajwain) 100gm (88),86,81,Spices
59,shan sindi biryani masala 55 gm (62),128,115,Spices
60,eco kalwanji 50gm (88),74,70,Spices
61,mehran tandoori chargha 45 gm(67),128,115,Spices
62,phool curry pdr 100 gm(73),118,106,Spices
63,shafay kalwanji 50 gm (2a),70,66,Spices
64,shan achar goshat masala monthly grocery pack 200 gm (62),478,430,Spices
65,shan tikka seekh kabab 90 gm d/p(62),248,223,Spices
66,tehwar ajwaien 50 gms (ob-s),35,33,Spices
67,iqra food garam masala whole 100gm (39),300,270,Spices
68,agro pak garam masala powder 100 gm(92),340,306,Spices
69,usc green aallaichi 15 gm (ob-s)(rmob),119,107,Spices
70,iqra black pepper whole 50 gm (39),170,153,Spices
71,shahi korma masala 100 gm (36),178,160,Spices
72,shan chinese chop souy 40 gm (62),48,45,Spices
73,bombay biryani masala 30 gm(malka)(36),37,35,Spices
74,nutri black pepper powder 50 gm (1w),130,117,Spices
75,mehran kheer mix 155 gm(67),135,121,Spices
76,joy crincle sancks (shell) 200 gm (39),125,112,Spices
77,national karahi gosht masala 24 gm(56),55,52,Spices
78,shan tikka seekh kabab masala 45 gm(62),128,115,Spices
79,national iodized pink salt 800 gm(56),80,76,Spices
80,parizad garam masala pdr 100 gm,360,324,Spices
81,jazaa dried fenugreek leaves (kasuri methi) (1q),52,49,Spices
82,agro pak bedyan khatai 25 gm (92),110,99,Spices
83,shafay bondi 200gm (2a),125,112,Spices
84,best black paper powder 100 gm(38),250,225,Spices
85,best chat masala 100 gm(38),85,80,Spices
86,tehwar big allaichi 50 gm (ob-s) (rmob),430,387,Spices
87,shan tez lal mirch pdr 45 gm(62),110,99,Spices
88,mehran chapli kabab 100 gm(67),245,220,Spices
89,national turemeric powder 50 ms(56),70,66,Spices
90,eco bay leaves 25gm (88),35,33,Spices
91,shan achar gosht masala 25 gm (62),19,18,Spices
92,ecial food red chilli coarsely grinded 100 gm,43,40,Spices
93,jazaa fish masala 50 gm (1q),105,94,Spices
94,shafay tamarind (imli) 100gm (2a),80,76,Spices
95,shan tomato chutney 315 gm(62),246,221,Spices
96,mehran red chilli powder 100 gm(67),200,180,Spices
97,national pulao 70 gm(56),120,108,Spices
98,shan fruit chaat masala 50 gm (62),94,89,Spices
99,swaad shahi salan masala 100 gm  (70),119,107,Spices
100,swaad shahi salan masala 100 gm  (70),107,96,Spices
101,ecial food qeema masala 50 gm,40,38,Spices
102,jazaa white pepper powder 50 gm (1q),290,261,Spices
103,tikka boti masala 100 gm (36),178,160,Spices
104,eco ginger powder 100gm (88),205,184,Spices
105,ecial food peri peri ice 50 gm,67,63,Spices
106,marvel turmeric powder haldi 100 gm (63),85,80,Spices
107,iqra tukh malanga 200 gm (39),430,387,Spices
108,marvel black chana roasted 100 gm (63),80,76,Spices
109,shan khalis halde powder 100 gm (62),148,133,Spices
110,shan chinese manchurain 50 gm (62),73,69,Spices
111,best mix masala 200 gm(38),180,162,Spices
112,eco tukhmalanga 50gm (88),115,103,Spices
113,nutri plum sweet 100 gm (1w),155,139,Spices
114,jazaa black pepper powder 100 gm (1q),320,288,Spices
115,tehwar anardana 50 gms (ob-s),50,47,Spices
116,national kasuri methi 25 gm(56),55,52,Spices
117,tukhmalanga 125 gm,163,146,Spices
118,fried onion 200 gm (36),222,199,Spices
119,kisan mutton handi masala 50 gm,42,39,Spices
120,mehran haleem 50 gm (67),128,115,Spices
121,nutri ginger powder 100gm (1w),175,157,Spices
122,marvel fennle snoof 100 gm (63),225,202,Spices
123,habib bombay biryani masala 65 gm h/p,44,41,Spices
124,iqra javitri 25 gm (39),270,243,Spices
125,swaad fish frymasala 50 gm  (70),117,105,Spices
126,parizad zeera 200 gm,560,476,Spices
127,nutri red chilli darah 200 gm (1w),175,157,Spices
128,national garam masala powder 25 gm(56),150,135,Spices
129,best food anar dana 100 gm(38),115,103,Spices
130,shan karahi/frie gosht masala 45 gm (62),128,115,Spices
131,shan khatta khatai powder 50 gm(62),34,32,Spices
132,jazaa red chilli powder 100 gm (1q),195,175,Spices
133,shafay kalwanji 100 gm (2a),140,126,Spices
134,ecial food cumin powder 50 gm,38,36,Spices
135,eco french fries mix 150gm (88),108,97,Spices
