date,sales_id,user_id,total,items
2021-03-10 11:40:52.731966,1,14,47,"[{'name': 'shan fried shop/steadk msala(62)', 'quantity': 1}]"
2022-08-31 13:34:12.001076,1,4,2140,"[{'name': 'led refill 3x60  nights fragrant 42 ml cp save rs.300 (04)', 'quantity': 2}]"
2021-07-30 21:30:01.209471,1,37,229,"[{'name': 'bonus tristar detergent  400 gm (05)', 'quantity': 1}, {'name': 'colgate slim soft t\\brush(05)', 'quantity': 1}]"
2021-09-28 11:24:21.215017,1,17,1275,"[{'name': 'garnier c/natrls  nude m', 'quantity': 3}]"
2022-01-16 15:06:38.941549,1,19,518,"[{'name': 'mothercare baby oil l', 'quantity': 2}, {'name': 'ariel hs orig 500g jubilee', 'quantity': 2}]"
2021-02-25 10:18:02.120341,1,24,3525,"[{'name': 'atta (cong)', 'quantity': 3}, {'name': 'rlx petrolium jelly olive oil 100 ml(55)', 'quantity': 3}]"
2022-08-28 16:10:58.738156,1,7,2904,"[{'name': 'poly bag 7x11 (260 pcs) per kg (ob-p)', 'quantity': 1}, {'name': 'soya supreme oil 3 ltr btl  (for ki zone)', 'quantity': 3}]"
2021-09-12 20:05:18.799499,1,22,850,"[{'name': 'glint white phenyl conc 225 ml(59)', 'quantity': 1}, {'name': 'wiper m 1122', 'quantity': 2}]"
2021-10-16 13:48:45.803323,1,19,252,"[{'name': 'utility tomato ketchup 1kg (ob-v)', 'quantity': 3}]"
2023-11-13 09:33:46.777652,1,13,609,"[{'name': 'kasuri methi 50 gm', 'quantity': 3}, {'name': 'crispo custard powder banana 300 gm(59)', 'quantity': 3}]"
2021-09-26 20:04:53.317437,1,22,250,"[{'name': 'launch box md asst. kp', 'quantity': 1}]"
2021-02-07 11:38:44.493872,1,22,216,"[{'name': 'parizad bumbay biryani masala 50 gm', 'quantity': 2}]"
2022-12-21 17:08:52.403862,1,13,290,"[{'name': '4me air freshner english rose(55)', 'quantity': 1}]"
2021-04-08 13:35:21.855989,1,21,2400,"[{'name': 'sa ginger 1 kg (lp)(shk)', 'quantity': 3}]"
2023-10-04 11:29:21.296782,1,15,150,"[{'name': 'dawn whole wheat bread 340 gm (94)', 'quantity': 1}]"
2022-12-27 09:05:19.643245,1,14,258,"[{'name': 'mezan ghee 1x10 kg old code', 'quantity': 1}]"
2023-02-05 12:43:03.830900,1,15,10646,"[{'name': 'super habib  c/oil 5ltr btl', 'quantity': 1}, {'name': 'eva canola oil 10 ltr jery can (for karachi zone)', 'quantity': 3}]"
2022-07-13 09:37:13.378150,1,10,425,"[{'name': 'nutri chipsticks peri peri 60 gm (1w)', 'quantity': 2}, {'name': 'shampo head & shoulders supmeme 80ml(55)', 'quantity': 1}]"
2021-10-26 12:36:12.794930,1,37,390,"[{'name': 'ls cucumber premium 1 kg (lp)(l-s)', 'quantity': 3}]"
2021-06-23 08:21:50.423560,1,14,339,"[{'name': 'shng ketchup 500g fre 100g g/c', 'quantity': 3}]"
2022-04-25 15:50:21.467117,1,16,201,"[{'name': 'kinza salt iofized 800gm', 'quantity': 1}, {'name': 'kontrol mac fresh dish washing liquid 300 ml(59)', 'quantity': 2}]"
2021-04-24 13:17:26.316573,1,19,88,"[{'name': 'islamabad green tea hp 80 gm(40)', 'quantity': 1}]"
2021-06-19 11:10:32.764343,1,12,1185,"[{'name': 'lipton yl blk kpk 400 gm (rmbt) (16)', 'quantity': 1}, {'name': 'delhi nihari masala 100 gm (36)', 'quantity': 3}]"
2023-11-15 20:01:15.995501,1,23,174,"[{'name': 'cleeno dish wash bar  140 gm', 'quantity': 3}, {'name': 'shan table salt 800 gms(62)', 'quantity': 2}]"
2023-01-16 19:30:22.493884,1,24,10,"[{'name': 'clear shmpoo complete clean 4.5ml(08)', 'quantity': 2}]"
