date,total,items,user_id,sales_id,transaction_type
2021-01-01 08:10:37.434006+00:00,594,"{'name': 'aghaz banaspati 1*16 kg (for ki zone)', 'quantity': 3}, {'name': 'rave red 400 ml', 'quantity': 3}",4,1,Loan
2021-01-01 16:33:14.775529+00:00,2970,"{'name': 'max apc lem-fresh 1-ltr(05)', 'quantity': 2}, {'name': 'insaf garlic 1 kg (lp)(bkr)', 'quantity': 2}",14,1,Online
2021-01-03 10:36:30.364371+00:00,240,"{'name': 'frina spick n span small(76)', 'quantity': 3}",19,1,Online
2021-01-03 13:29:19.611246+00:00,9460,"{'name': 'mezan cooking oil 10 ltr can(rmol)(85)', 'quantity': 2}",18,1,Cash
2021-01-03 14:44:39.761534+00:00,525,"{'name': 'kilite fabric bleach 1100 ml saf ent(24)', 'quantity': 3}",11,1,Online
2021-01-03 14:54:19.497825+00:00,1312,"{'name': 'nivea body essentials sensual musk lotion 250ml(59)', 'quantity': 2}",11,1,Online
2021-01-06 10:35:40.199574+00:00,4090,"{'name': 'andaaz oil 5 ltr tin', 'quantity': 3}, {'name': 'vigo baby mini new born 26 pcs', 'quantity': 2}",24,1,Cash
2021-01-06 10:49:09.713018+00:00,229,"{'name': 'hankies tea time', 'quantity': 3}, {'name': 'sheer mall 135 gm (1 pcs) (swm)', 'quantity': 2}",5,1,Loan
2021-01-06 17:12:24.128480+00:00,969,"{'name': 'herbion neem hwash 250 ml(75)', 'quantity': 3}",23,1,Loan
2021-01-07 18:18:56.747674+00:00,1650,"{'name': 'sucofine table top sweetener 650 tablets', 'quantity': 3}",25,1,Loan
2021-01-08 10:39:17.584583+00:00,388,"{'name': 'tomato ketchup 500 gm (36)', 'quantity': 2}",25,1,Cash
2021-01-10 15:32:40.905745+00:00,230,"{'name': 'dawn family pack bran 725 gm (94)', 'quantity': 1}",36,1,Cash
2021-01-12 19:42:15.431947+00:00,220,"{'name': 'caresse f\\cleanser grade seed', 'quantity': 2}",4,1,Cash
2021-01-13 09:51:22.818787+00:00,940,"{'name': 'clear shampoo lemon fresh 380 ml(08)', 'quantity': 1}",25,1,Loan
2021-01-13 09:58:09.094368+00:00,2180,"{'name': 'diamond rice 401022-23', 'quantity': 2}, {'name': 'rahat premium regular (x-large) (1m)', 'quantity': 1}",24,1,Cash
2021-01-13 10:08:24.266649+00:00,770,"{'name': 'dawn burger bun (2 pieces) 120 gm (94)', 'quantity': 2}, {'name': 'chuara 250 gm', 'quantity': 3}",5,1,Loan
2021-01-13 17:49:21.171039+00:00,291,"{'name': 'sensodyne regular 75 ml', 'quantity': 3}",35,1,Loan
2021-01-15 10:08:56.794915+00:00,2775,"{'name': 'sufi soap ecial quality per kg(11)', 'quantity': 3}, {'name': 'water ort bottle md asst.', 'quantity': 3}",15,1,Cash
2021-01-15 16:53:29.991390+00:00,427,"{'name': 'apple chikku m fm', 'quantity': 2}, {'name': 'capstan international 20 hl cigrate (only for jails)(96)', 'quantity': 1}",4,1,Loan
2021-01-16 10:14:22.952761+00:00,2590,"{'name': 'dalda (fortified) canola cooking oil 1x5 ltr pouch (for all zone except ki zone) (old code)(1c)', 'quantity': 2}",37,1,Loan
2021-01-16 20:02:07.674123+00:00,510,"{'name': 'face fresh cleaner cream (large)', 'quantity': 2}",11,1,Loan
2021-01-17 08:06:56.601808+00:00,193,"{'name': 'fauji vermicellies rstd', 'quantity': 3}",13,1,Loan
2021-01-17 13:09:53.670861+00:00,54,"{'name': 'double horse bachat toilet rolle(59)', 'quantity': 2}",21,1,Online
2021-01-17 16:58:58.999431+00:00,195,"{'name': 'marvel iodized salt 800 gm (63)', 'quantity': 1}, {'name': 'metha soda 200 gm (39)', 'quantity': 3}",37,1,Online
2021-01-18 08:52:49.808830+00:00,152,"{'name': 'jasmine table napkin l imc(21)', 'quantity': 1}, {'name': 'lotte pie 12s pack', 'quantity': 3}",25,1,Loan
2021-01-19 15:09:53.050862+00:00,534,"{'name': 'macaroni fancy shell 400 gm bake parlor(59)', 'quantity': 1}, {'name': 'ebm fhc - short bread packet 127 gm 14)', 'quantity': 2}",1,1,Loan
2021-01-20 10:25:01.283145+00:00,7530,"{'name': 'brit led bulbs 20 watts (t shape)(25)', 'quantity': 2}",4,1,Loan
2021-01-20 20:43:31.637749+00:00,1550,"{'name': 'mughal classic 5 kg(135)(r)', 'quantity': 1}, {'name': 'waltz owafer ack', 'quantity': 2}",18,1,Cash
2021-01-22 18:42:30.154183+00:00,1205,"{'name': 'manpasand ghee 2.5 kg pouch(pg)', 'quantity': 1}",21,1,Loan
2021-01-23 16:55:22.051085+00:00,1020,"{'name': 'wavy steel scrubber jumbo 30 gms 1x20x12', 'quantity': 3}, {'name': 'maan cooking oil 1x5 ltr pouch', 'quantity': 2}, {'name': 'maan cooking oil 1x5 ltr pouch', 'quantity': 2}",20,1,Loan
2021-01-23 17:33:46.912345+00:00,414,"{'name': 'h&s 75ml cc b2(10)', 'quantity': 2}",14,1,Online
2021-01-24 12:45:56.012369+00:00,71,"{'name': 'bar b-q macaroni 250 gm(59)', 'quantity': 1}",17,1,Online
2021-01-24 21:47:48.682467+00:00,504,"{'name': 'pan rush 10 mg velo 20s(only for jails)', 'quantity': 2}",4,1,Online
2021-01-25 12:18:08.003174+00:00,1065,"{'name': 'adidas body spray 200ml', 'quantity': 3}, {'name': 'golden 7 spice spaghetti 250 gm(32)', 'quantity': 3}",4,1,Loan
2021-01-25 19:12:24.809667+00:00,473,"{'name': 'marhaba kalongi oil 50 ml', 'quantity': 1}",10,1,Cash
2021-01-27 20:59:24.973299+00:00,530,"{'name': 'primex multi s 691013', 'quantity': 2}",23,1,Online
2021-01-28 09:45:02.467443+00:00,1466,"{'name': 'express pdr 400 gm (05)', 'quantity': 1}, {'name': 'sunsilk shampoo 700ml black shine', 'quantity': 2}",37,1,Loan
2021-01-29 17:51:52.313031+00:00,909,"{'name': 'tub no.1', 'quantity': 3}, {'name': 'dettol soap original 110 gm (04)', 'quantity': 3}",16,1,Cash
2021-01-30 09:45:37.906283+00:00,2637,"{'name': 'lifebuoy total 115 gm', 'quantity': 3}, {'name': 'lifebuoy total 115 gm', 'quantity': 3}, {'name': 'sufi canola coil5 ltr', 'quantity': 3}",22,1,Loan
2021-01-30 11:35:55.792931+00:00,5265,"{'name': 'lipton yellow label tea 900 gm(rmbt) (16)', 'quantity': 3}",36,1,Cash
2021-01-31 17:22:44.907371+00:00,704,"{'name': 'milan regular quality 800 gm (22)', 'quantity': 2}, {'name': 'lemon max pbag antibacterial 840 gm(05)', 'quantity': 3}",16,1,Loan
2021-01-31 20:54:27.885613+00:00,625,"{'name': 'baygon-lmd-refill 41 ml (a.k.a)(59)', 'quantity': 1}, {'name': 'nova bistro 370ml', 'quantity': 2}",1,1,Online
2021-02-03 11:27:39.505034+00:00,1984,"{'name': 'he cd blue ginger 400ml- set b(10)', 'quantity': 3}, {'name': 'choc-oh rs 20-(61)', 'quantity': 2}",23,1,Loan
2021-02-03 17:48:16.896605+00:00,185,"{'name': 'minto paste awami 25 gm(09)', 'quantity': 2}",25,1,Online
2021-02-03 21:47:29.460373+00:00,502,"{'name': 'stiff sweep plain 500 ml (01)', 'quantity': 2}, {'name': 'dettol soap cool 80 gm (04)', 'quantity': 2}",4,1,Cash
2021-02-04 15:00:15.520389+00:00,3540,"{'name': 'planta c oil 4.5 ltr botle (old code)', 'quantity': 2}, {'name': 'nest papp nactor juice 200 ml(57)', 'quantity': 3}",11,1,Loan
2021-02-05 08:50:01.260911+00:00,2628,"{'name': 'clear shampoo men deep clean 315 ml(55)', 'quantity': 3}",3,1,Cash
2021-02-05 17:59:22.953952+00:00,1473,"{'name': 'vim hwash anti bac bar 90 gm(08)', 'quantity': 3}, {'name': 'shan achar goshat masala monthly grocery pack 200 gm (62)', 'quantity': 3}",4,1,Loan
2021-02-06 09:28:51.596412+00:00,1820,"{'name': 'dalda cooking oil 2.5 ltr tin (for all usc zone except karachi) (old code)(1c)', 'quantity': 2}",16,1,Cash
2021-02-07 15:03:11.267314+00:00,356,"{'name': 'colgate tooth brush premier clean medium cp triple pack save rs.50 (05)', 'quantity': 2}",23,1,Cash
2021-02-08 09:41:20.224132+00:00,1604,"{'name': 'mezan tea hardum mixture 910 gm pouch(rmbt)(68)', 'quantity': 1}",34,1,Online
2021-02-10 08:48:04.915346+00:00,930,"{'name': 'palmolive liquid hwash antibac 225 ml bottle(05)', 'quantity': 3}",15,1,Cash
2021-02-10 12:05:54.658008+00:00,353,"{'name': 'misk pop up mini 100 tissue paper(81)', 'quantity': 2}, {'name': 'lu bakeri butter cookies 84', 'quantity': 3}",14,1,Cash
2021-02-10 14:32:19.091183+00:00,1968,"{'name': 'nivea body essentials aloevera lotion 250ml(59)', 'quantity': 3}",19,1,Loan
2021-02-10 19:50:15.185956+00:00,2031,"{'name': 'white zeera raw bulk (ob-r)', 'quantity': 3}",16,1,Loan
2021-02-13 12:20:04.997754+00:00,287,"{'name': 'piston with out pin', 'quantity': 2}",22,1,Cash
2021-02-13 21:28:49.430085+00:00,750,"{'name': 'clear cool black 200 ml(08)', 'quantity': 3}",24,1,Cash
2021-02-13 21:29:53.626357+00:00,90,"{'name': 'm.g fairness snow jar', 'quantity': 1}",18,1,Cash
2021-02-14 20:51:33.846842+00:00,117,"{'name': 'swaad lahori nihari masala 60 gm (70)', 'quantity': 1}",25,1,Loan
2021-02-15 16:09:17.599161+00:00,1960,"{'name': 'qarshi surfi tab 250 tabs(45)', 'quantity': 2}, {'name': 'dove shampoo nourishing oil uk 250 ml(55)', 'quantity': 2}",10,1,Loan
2021-02-16 19:13:48.349579+00:00,720,"{'name': 'shezan iaghol husk 50 gm(47)', 'quantity': 2}",10,1,Cash
2021-02-17 09:00:10.004848+00:00,673,"{'name': 'omroc premium delux 280m', 'quantity': 3}",19,1,Loan
2021-02-17 11:11:25.083592+00:00,1049,"{'name': 'skinless whole chicken wo giblets 1.2 kg', 'quantity': 2}, {'name': 'custard sandwich tp 20 gm', 'quantity': 1}",11,1,Cash
2021-02-17 19:04:17.489162+00:00,354,"{'name': 'forhans vanishingcream l100ml', 'quantity': 3}",13,1,Loan
2021-02-17 21:38:11.334006+00:00,1298,"{'name': 'scotch brite classic ns,2pc(28)', 'quantity': 2}",22,1,Loan
2021-02-19 11:00:39.505836+00:00,224,"{'name': 'kolson jam heart strawbery & vanila 52.4 gm', 'quantity': 3}",20,1,Cash
2021-02-19 21:41:48.387679+00:00,1056,"{'name': 'thousand island kanas 400 gm89(59)', 'quantity': 3}",15,1,Cash
2021-02-21 15:18:30.174607+00:00,670,"{'name': 'mop with screw rod 250 gm', 'quantity': 2}",37,1,Online
2021-02-22 14:13:31.892055+00:00,1121,"{'name': 'every day pwd 400 gm', 'quantity': 3}, {'name': 'chicken roll large 12 s (tasty frozen) (1p)', 'quantity': 1}",35,1,Online
2021-02-23 14:34:27.394212+00:00,645,"{'name': 'medicam dental cream 90 gm plain(09)', 'quantity': 2}",35,1,Online
2021-02-24 18:57:14.083902+00:00,880,"{'name': '4me air freshner bright flower 300 ml(55)', 'quantity': 3}",10,1,Loan
2021-02-25 10:18:02.120341+00:00,3525,"{'name': 'atta (cong)', 'quantity': 3}, {'name': 'atta (cong)', 'quantity': 3}, {'name': 'rlx petrolium jelly olive oil 100 ml(55)', 'quantity': 3}",5,1,Online
2021-02-25 17:34:20.097219+00:00,860,"{'name': 'viking glass cleaner medium 500 ml (king enterprises) (80)', 'quantity': 3}, {'name': 'shield feeder (regular evenflo) 125 ml(53)', 'quantity': 2}",18,1,Cash
2021-02-25 17:45:09.740409+00:00,849,"{'name': 'bisconi cake-rollies strawberry(59)', 'quantity': 3}, {'name': 'eva sunflower oil 4.5 ltr btl old code', 'quantity': 1}, {'name': 'eva sunflower oil 4.5 ltr btl old code', 'quantity': 1}",16,1,Loan
2021-02-26 20:50:28.651083+00:00,267,"{'name': 'car tape old and used', 'quantity': 3}",21,1,Online
